Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Other Europe (BP),,1966,,,,10.355472564697266
Other Europe (BP),,1967,,,,11.187607765197754
Other Europe (BP),,1968,,,,12.3517427444458
Other Europe (BP),,1969,,,,15.340877532958984
Other Europe (BP),,1970,,,,15.393013000488281
Other Middle East (BP),,1971,0,0,0,0.8899999856948853
Other Middle East (BP),,1972,0,0,0,0.8690000176429749
Other Middle East (BP),,1973,0,0,0,0.4950000047683716
Other Middle East (BP),,1974,0,0,0,1.149999976158142
Other Middle East (BP),,1975,0,0,0,1.5499999523162842
Other Middle East (BP),,1976,0,0,0,2.0299999713897705
Other Middle East (BP),,1977,0,0,0,2.568000078201294
Other Middle East (BP),,1978,0,0,0,2.8949999809265137
Other Middle East (BP),,1979,0,0,0,3.2009999752044678
Other Middle East (BP),,1980,0,0,0,3.4110000133514404
Other Middle East (BP),,1981,0,0,0,3.507999897003174
Other Middle East (BP),,1982,0,0,0,3.6089999675750732
Other Middle East (BP),,1983,0,0,0,3.361999988555908
Other Middle East (BP),,1984,0,0,0,3.9100000858306885
Other Middle East (BP),,1985,0,0,0,3.927000045776367
Other Middle East (BP),,1986,0,0,0,3.4230000972747803
Other Middle East (BP),,1987,0,0,0,3.489000082015991
Other Middle East (BP),,1988,0,0,0,3.443000078201294
Other Middle East (BP),,1989,0,0,0,3.2890000343322754
Other Middle East (BP),,1990,0,0,0.0010000000474974513,3.239000082015991
Other Middle East (BP),,1991,0,0,0.0010000000474974513,3.250999927520752
Other Middle East (BP),,1992,0,0,0.0010000000474974513,3.375
Other Middle East (BP),,1993,0,0,0.0010000000474974513,3.3259999752044678
Other Middle East (BP),,1994,0,0,0.0010000000474974513,3.382999897003174
Other Middle East (BP),,1995,0,0,0.0010000000474974513,3.184999942779541
Other Middle East (BP),,1996,0,0,0.0010000000474974513,3.371000051498413
Other Middle East (BP),,1997,0,0,0.003000000026077032,3.3529999256134033
Other Middle East (BP),,1998,0,0,0.003000000026077032,3.5
Other Middle East (BP),,1999,0,0,0.003000000026077032,3.065999984741211
Other Middle East (BP),,2000,0.003000000026077032,0,0.003000000026077032,3.713599920272827
Other Middle East (BP),,2001,0.004999999888241291,0,0.003000000026077032,3.7847900390625
Other Middle East (BP),,2002,0.004999999888241291,0,0.003000000026077032,4.230841159820557
